,Winner,Pegs removed
0,1,"[[(0, 0), (0, 2)], [(1, 2), (1, 4)], [(2, 1), (2, 3), (2, 2)], [(3, 3), (3, 0)], [(4, 0), (4, 4)]]"
1,2,"[[(3, 3), (3, 0)], [(0, 2), (0, 0)], [(1, 4), (4, 4)], [(2, 1)], [(2, 3)], [(1, 2)], [(2, 2)], [(4, 0)]]"
2,2,"[[(2, 2)], [(1, 2)], [(0, 2)], [(2, 3), (2, 1)], [(3, 3)], [(4, 0), (3, 0)], [(0, 0)], [(1, 4), (4, 4)]]"
3,1,"[[(0, 2), (1, 2), (2, 2)], [(4, 4), (1, 4)], [(3, 3), (2, 3)], [(4, 0)], [(0, 0)], [(2, 1)], [(3, 0)]]"
4,2,"[[(3, 0)], [(2, 2), (2, 3)], [(3, 3)], [(2, 1)], [(0, 0)], [(1, 4)], [(4, 4)], [(1, 2)], [(0, 2)], [(4, 0)]]"
5,2,"[[(2, 3), (3, 3)], [(2, 1)], [(1, 2), (2, 2), (0, 2)], [(4, 4)], [(1, 4)], [(0, 0), (3, 0), (4, 0)]]"
6,1,"[[(2, 1), (2, 3), (2, 2)], [(0, 0), (0, 2)], [(3, 0), (4, 0)], [(1, 4)], [(3, 3)], [(1, 2)], [(4, 4)]]"
7,2,"[[(4, 0), (3, 0)], [(4, 4)], [(1, 4)], [(2, 3)], [(1, 2)], [(2, 1)], [(2, 2)], [(0, 2)], [(0, 0)], [(3, 3)]]"
8,1,"[[(3, 3)], [(2, 3)], [(2, 2), (0, 2), (1, 2)], [(3, 0)], [(0, 0)], [(4, 4)], [(4, 0)], [(1, 4)], [(2, 1)]]"
9,1,"[[(2, 1), (2, 3), (2, 2)], [(3, 0), (3, 3)], [(1, 2)], [(4, 0)], [(1, 4)], [(4, 4)], [(0, 0), (0, 2)]]"
10,1,"[[(3, 0), (3, 3)], [(0, 0), (0, 2)], [(2, 1)], [(4, 0)], [(2, 2), (2, 3)], [(1, 2)], [(1, 4), (4, 4)]]"
11,2,"[[(1, 4), (1, 2)], [(2, 3), (2, 2), (2, 1)], [(4, 4), (4, 0)], [(3, 3)], [(3, 0)], [(0, 0), (0, 2)]]"
12,1,"[[(2, 1)], [(2, 2)], [(0, 2), (1, 2)], [(3, 3)], [(2, 3)], [(3, 0)], [(4, 0)], [(1, 4), (4, 4)], [(0, 0)]]"
13,1,"[[(0, 0)], [(3, 0)], [(0, 2)], [(2, 1)], [(2, 3)], [(4, 0)], [(1, 2), (2, 2)], [(3, 3)], [(1, 4), (4, 4)]]"
14,1,"[[(0, 2), (1, 2), (2, 2)], [(4, 4), (1, 4)], [(3, 3), (2, 3)], [(3, 0)], [(0, 0)], [(4, 0)], [(2, 1)]]"
15,1,"[[(0, 2)], [(1, 4)], [(4, 4)], [(0, 0)], [(2, 1)], [(4, 0)], [(2, 3), (2, 2)], [(1, 2)], [(3, 0), (3, 3)]]"
16,2,"[[(0, 2), (2, 2), (1, 2)], [(0, 0)], [(4, 0), (4, 4)], [(1, 4)], [(3, 0), (3, 3)], [(2, 1), (2, 3)]]"
17,2,"[[(0, 0)], [(2, 3), (3, 3)], [(4, 4), (4, 0)], [(2, 2)], [(3, 0)], [(2, 1)], [(1, 4)], [(0, 2), (1, 2)]]"
18,2,"[[(4, 4)], [(0, 2), (0, 0)], [(1, 2), (1, 4)], [(2, 3), (3, 3)], [(3, 0), (4, 0)], [(2, 1), (2, 2)]]"
19,2,"[[(0, 2)], [(2, 3), (3, 3)], [(4, 4)], [(4, 0)], [(0, 0)], [(3, 0)], [(1, 2)], [(2, 1)], [(2, 2)], [(1, 4)]]"
20,2,"[[(2, 2), (2, 1)], [(1, 2), (0, 2)], [(0, 0)], [(3, 0)], [(4, 0)], [(3, 3)], [(2, 3)], [(1, 4), (4, 4)]]"
21,1,"[[(0, 0)], [(2, 3), (3, 3)], [(4, 0), (4, 4)], [(0, 2)], [(1, 2), (1, 4)], [(2, 1), (2, 2)], [(3, 0)]]"
22,1,"[[(4, 0), (4, 4)], [(2, 1)], [(2, 2)], [(2, 3)], [(1, 4), (1, 2)], [(0, 0), (0, 2)], [(3, 0), (3, 3)]]"
23,2,"[[(2, 3)], [(4, 4)], [(2, 1)], [(4, 0)], [(0, 0), (3, 0)], [(1, 4)], [(0, 2)], [(1, 2)], [(2, 2)], [(3, 3)]]"
24,2,"[[(2, 2), (2, 3)], [(3, 0)], [(0, 2)], [(1, 2)], [(4, 0)], [(1, 4)], [(0, 0)], [(4, 4)], [(3, 3)], [(2, 1)]]"
25,2,"[[(3, 0)], [(0, 0), (4, 0)], [(3, 3)], [(1, 2)], [(1, 4)], [(0, 2)], [(4, 4)], [(2, 1), (2, 2), (2, 3)]]"
26,2,"[[(4, 0)], [(1, 4), (1, 2)], [(0, 2), (2, 2)], [(0, 0)], [(2, 1), (2, 3)], [(3, 3)], [(3, 0)], [(4, 4)]]"
27,2,"[[(2, 2), (2, 3)], [(1, 4)], [(4, 0)], [(4, 4)], [(3, 0), (0, 0)], [(2, 1)], [(3, 3)], [(0, 2), (1, 2)]]"
28,2,"[[(3, 3)], [(2, 1)], [(0, 0)], [(3, 0), (4, 0)], [(2, 2)], [(4, 4)], [(1, 2)], [(2, 3)], [(0, 2)], [(1, 4)]]"
29,2,"[[(3, 0), (3, 3)], [(4, 0), (0, 0)], [(0, 2)], [(1, 2)], [(2, 2)], [(1, 4)], [(4, 4)], [(2, 1), (2, 3)]]"
30,1,"[[(4, 0), (4, 4)], [(3, 3), (3, 0)], [(0, 0), (0, 2)], [(1, 4), (1, 2)], [(2, 1), (2, 2), (2, 3)]]"
31,2,"[[(0, 2)], [(3, 3), (3, 0)], [(1, 4)], [(0, 0)], [(1, 2), (2, 2)], [(4, 4)], [(4, 0)], [(2, 1), (2, 3)]]"
32,1,"[[(2, 1)], [(4, 4)], [(0, 2)], [(1, 4)], [(3, 3), (2, 3)], [(0, 0)], [(4, 0)], [(2, 2), (1, 2)], [(3, 0)]]"
33,2,"[[(2, 1)], [(4, 0), (0, 0), (3, 0)], [(0, 2)], [(2, 3), (2, 2)], [(1, 2)], [(4, 4)], [(1, 4)], [(3, 3)]]"
34,2,"[[(0, 2)], [(1, 2), (1, 4)], [(2, 2)], [(2, 1)], [(0, 0), (4, 0)], [(3, 3), (2, 3)], [(4, 4)], [(3, 0)]]"
35,1,"[[(0, 2), (0, 0)], [(3, 3)], [(3, 0)], [(1, 4)], [(4, 0), (4, 4)], [(2, 1), (2, 2), (2, 3)], [(1, 2)]]"
36,1,"[[(3, 3), (2, 3)], [(4, 0), (4, 4)], [(1, 4)], [(2, 2), (0, 2)], [(1, 2)], [(2, 1)], [(0, 0), (3, 0)]]"
37,1,"[[(2, 1)], [(0, 0), (0, 2)], [(4, 0), (4, 4)], [(1, 2)], [(3, 3)], [(1, 4)], [(2, 2)], [(3, 0)], [(2, 3)]]"
38,1,"[[(4, 4)], [(1, 4)], [(2, 3), (2, 2), (2, 1)], [(0, 2), (0, 0)], [(4, 0)], [(1, 2)], [(3, 0), (3, 3)]]"
39,1,"[[(3, 3), (3, 0)], [(2, 3)], [(0, 0), (4, 0)], [(2, 1), (2, 2)], [(4, 4)], [(1, 2), (1, 4)], [(0, 2)]]"
40,1,"[[(4, 0), (3, 0)], [(4, 4)], [(1, 4)], [(3, 3)], [(0, 2)], [(0, 0)], [(2, 3)], [(1, 2), (2, 2)], [(2, 1)]]"
41,1,"[[(4, 4)], [(4, 0)], [(1, 2), (2, 2)], [(0, 2)], [(3, 3), (2, 3)], [(1, 4)], [(3, 0)], [(0, 0)], [(2, 1)]]"
42,1,"[[(3, 3)], [(1, 2)], [(2, 1)], [(2, 2)], [(0, 2)], [(4, 0)], [(1, 4)], [(4, 4)], [(0, 0)], [(2, 3)], [(3, 0)]]"
43,1,"[[(3, 3)], [(4, 4), (4, 0)], [(0, 0), (3, 0)], [(2, 1)], [(2, 3)], [(1, 2)], [(0, 2)], [(2, 2)], [(1, 4)]]"
44,1,"[[(4, 0)], [(2, 1)], [(2, 2)], [(0, 0)], [(1, 2), (0, 2)], [(3, 3)], [(2, 3)], [(1, 4), (4, 4)], [(3, 0)]]"
45,2,"[[(3, 3)], [(3, 0)], [(2, 2), (1, 2)], [(1, 4)], [(2, 1)], [(4, 4), (4, 0)], [(2, 3)], [(0, 0), (0, 2)]]"
46,2,"[[(1, 2)], [(2, 3), (2, 2)], [(0, 0), (0, 2)], [(3, 0)], [(3, 3)], [(4, 0)], [(2, 1)], [(1, 4), (4, 4)]]"
47,1,"[[(2, 3), (2, 2), (2, 1)], [(0, 0), (0, 2)], [(1, 4)], [(3, 3), (3, 0)], [(4, 0)], [(1, 2)], [(4, 4)]]"
